File: DSP-1001660005141-Z-C11, Raw: 782005, Trimmed: 776875, Stitched: 768213, Aligned: 728448, Deduplicated: 88662
File: DSP-1001660005141-Z-C12, Raw: 9810220, Trimmed: 9730597, Stitched: 9595334, Aligned: 9113545, Deduplicated: 910063
File: DSP-1001660005141-Z-D01, Raw: 4706986, Trimmed: 4679281, Stitched: 4626079, Aligned: 4408283, Deduplicated: 669515
File: DSP-1001660005141-Z-D02, Raw: 10564161, Trimmed: 10453309, Stitched: 10310505, Aligned: 9606841, Deduplicated: 951555
File: DSP-1001660005141-Z-D03, Raw: 467746, Trimmed: 463288, Stitched: 457119, Aligned: 436594, Deduplicated: 44243
File: DSP-1001660005141-Z-D04, Raw: 5309439, Trimmed: 5274060, Stitched: 5218196, Aligned: 4980509, Deduplicated: 913779
File: DSP-1001660005141-Z-D05, Raw: 11273633, Trimmed: 11165502, Stitched: 11014072, Aligned: 10332926, Deduplicated: 974432
File: DSP-1001660005141-Z-D06, Raw: 1257006, Trimmed: 1248576, Stitched: 1234598, Aligned: 1155829, Deduplicated: 105872
File: DSP-1001660005141-Z-D07, Raw: 11066900, Trimmed: 10955511, Stitched: 10766226, Aligned: 10038964, Deduplicated: 1148472
File: DSP-1001660005141-Z-D08, Raw: 15459833, Trimmed: 15312718, Stitched: 15117331, Aligned: 13540672, Deduplicated: 1188974
File: DSP-1001660005141-Z-D09, Raw: 1214527, Trimmed: 1205407, Stitched: 1186188, Aligned: 1110907, Deduplicated: 106968
File: DSP-1001660005141-Z-D10, Raw: 7885638, Trimmed: 7830626, Stitched: 7740869, Aligned: 7250056, Deduplicated: 771316
File: DSP-1001660005141-Z-D11, Raw: 11348710, Trimmed: 11252580, Stitched: 11077836, Aligned: 9980492, Deduplicated: 944556
File: DSP-1001660005141-Z-D12, Raw: 765820, Trimmed: 759871, Stitched: 749669, Aligned: 710380, Deduplicated: 76321
File: DSP-1001660005141-Z-E01, Raw: 11848799, Trimmed: 11731852, Stitched: 11580628, Aligned: 11043296, Deduplicated: 832183
File: DSP-1001660005141-Z-E02, Raw: 7765122, Trimmed: 7712769, Stitched: 7632417, Aligned: 7255901, Deduplicated: 839753
File: DSP-1001660005141-Z-E03, Raw: 15826476, Trimmed: 15687039, Stitched: 15486245, Aligned: 14415649, Deduplicated: 1388402
File: DSP-1001660005141-Z-E04, Raw: 1058982, Trimmed: 1050923, Stitched: 1036112, Aligned: 986474, Deduplicated: 76009
File: DSP-1001660005141-Z-E05, Raw: 6665798, Trimmed: 6602589, Stitched: 6516585, Aligned: 6257762, Deduplicated: 665538
File: DSP-1001660005141-Z-E06, Raw: 7331598, Trimmed: 7260854, Stitched: 7156597, Aligned: 6821979, Deduplicated: 758506
File: DSP-1001660005141-Z-E07, Raw: 6051792, Trimmed: 6013714, Stitched: 5943441, Aligned: 5507512, Deduplicated: 986786
File: DSP-1001660005141-Z-E08, Raw: 2218308, Trimmed: 2199970, Stitched: 2170773, Aligned: 2064498, Deduplicated: 169488
File: DSP-1001660005141-Z-E09, Raw: 25075266, Trimmed: 24874222, Stitched: 24554295, Aligned: 23468823, Deduplicated: 2370169
File: DSP-1001660005141-Z-E10, Raw: 7363500, Trimmed: 7313488, Stitched: 7226404, Aligned: 6843782, Deduplicated: 585996
File: DSP-1001660005141-Z-E11, Raw: 18298282, Trimmed: 18140593, Stitched: 17909365, Aligned: 16624050, Deduplicated: 1271933
File: DSP-1001660005141-Z-E12, Raw: 578676, Trimmed: 573495, Stitched: 565914, Aligned: 540786, Deduplicated: 55966
File: DSP-1001660005141-Z-F01, Raw: 7963147, Trimmed: 7897256, Stitched: 7793489, Aligned: 7436281, Deduplicated: 645018
File: DSP-1001660005141-Z-F02, Raw: 327, Trimmed: 325, Stitched: 322, Aligned: 302, Deduplicated: 299
File: DSP-1001660005141-Z-F03, Raw: 812964, Trimmed: 805960, Stitched: 795676, Aligned: 754522, Deduplicated: 78529
File: DSP-1001660005141-Z-F04, Raw: 7626182, Trimmed: 7576119, Stitched: 7469093, Aligned: 7056639, Deduplicated: 771461
File: DSP-1001660005141-Z-F05, Raw: 14717024, Trimmed: 14609552, Stitched: 14427536, Aligned: 13249957, Deduplicated: 1102427
File: DSP-1001660005141-Z-F06, Raw: 853081, Trimmed: 847235, Stitched: 837449, Aligned: 791821, Deduplicated: 72771
File: DSP-1001660005141-Z-F07, Raw: 6184482, Trimmed: 6140573, Stitched: 6068977, Aligned: 5705194, Deduplicated: 529520
File: DSP-1001660005141-Z-F08, Raw: 11012305, Trimmed: 10916087, Stitched: 10778489, Aligned: 9965474, Deduplicated: 781313
File: DSP-1001660005141-Z-F09, Raw: 2408439, Trimmed: 2392872, Stitched: 2361502, Aligned: 2236453, Deduplicated: 173602
